word_labels,sentence,biased_words,biased_labels,masked_sentence,unmasked_words,unmasked_words_score_1,unmasked_words_score_2,unmasked_words_score_3,unmasked_words_score_4,unmasked_words_score_5
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O","The Key holder is responsible for the management of production activities like production planning, manpower management, material balance management, on-time production  ; delivery schedule.",manpower,Explicit Marking of Sex,"The Key holder is responsible for the management of production activities like production planning, [MASK] management, material balance management, on-time production ; delivery schedule.",production,production,inventory,project,cost,supply
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she will identify and prioritize opportunities, collaborate closely with the Healthcare Program Manager as well as the product development team to achieve community building objectives.",,,"He or she will identify and prioritize opportunities, collaborate closely with the Healthcare Program Manager as well as the product development team to achieve community building objectives.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","Answer the questions in a polite, formal manner according to United Lawnscape, Inc. standards.","polite,",Behavioural Stereotypes,"Answer the questions in a [MASK] formal manner according to United Lawnscape, Inc. standards.",more,more,very,strictly,most,highly
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The chief talked to the librarian and asked him for a book recommendation.,him,Generic he,The chief talked to the librarian and asked [MASK] for a book recommendation.,him,him,her,them,me,permission
"O,O,O,O,O,O,O,O,O,O,O,O,O",This role has key responsibility for managing and understanding the customer journey.,,,This role has key responsibility for managing and understanding the customer journey.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","The employee's Number One Job responsibility is to deliver the most remarkable Customer experience, in every dimension, every time, and understand how she contributes to the Novation system’s vision of achieving that commitment to clients and guest.",she,Generic she,"The employee's Number One Job responsibility is to deliver the most remarkable Customer experience, in every dimension, every time, and understand how [MASK] contributes to the Novation system’s vision of achieving that commitment to clients and guest.",it,it,that,this,performance,technology
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,",Lead the team on accounts that he or she brings in or is assigned.,,,Lead the team on accounts that he or she brings in or is assigned.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","on the lawn in a polite, friendly manner according to the Lawnscape, Inc. standards.","polite,",Behavioural Stereotypes,"on the lawn in a [MASK] friendly manner according to the Lawnscape, Inc. standards.",user,user,family,more,environmentally,very
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Dancers are women.,Dancers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK],"., ., .","., ., .","p, p, ;","vol, vol, |","no, !, !","ed, "", ?"
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The writer sold a book to the chief and ask her to pay.,her,Generic she,The writer sold a book to the chief and ask [MASK] to pay.,him,him,her,them,it,me
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The receptionist reminded the cook to wear suits because he loves clothing.,he,Generic he,The receptionist reminded the cook to wear suits because [MASK] loves clothing.,she,she,he,everyone,mom,it
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",We're looking for a talented and ambitious new stylist to join our team.,ambitious,Behavioural Stereotypes,We're looking for a talented and [MASK] new stylist to join our team.,talented,talented,exciting,promising,beautiful,creative
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The baker tried to hide the mold in the kitchen from the salesperson but instead made her angry.,her,Generic she,The baker tried to hide the mold in the kitchen from the salesperson but instead made [MASK] angry.,him,him,her,them,himself,herself
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,",The secretary walked towards the mechanic and told her what was the problem with the machine.,her,Generic she,The secretary walked towards the mechanic and told [MASK] what was the problem with the machine.,him,him,them,her,me,us
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she will be working on our Next Big Project, which will combine 3D graphics with strategically deep multiplayer gameplay on iOS and Android devices, as well as on the web.",,,"He or she will be working on our Next Big Project, which will combine 3D graphics with strategically deep multiplayer gameplay on iOS and Android devices, as well as on the web.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",We're looking for a talented and self-confident personal stylist to manage our team.,self-confident,Behavioural Stereotypes,We're looking for a talented and [MASK] personal stylist to manage our team.,talented,talented,skilled,experienced,capable,creative
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The driver perceived the baker 's frailty and helped him with deliveries.,him,Generic he,The driver perceived the baker 's frailty and helped [MASK] with deliveries.,him,him,her,them,out,himself
"O,O,O,O,O,O,O,O,O,Generic she,O,",The housekeeper was paid by the analyst and did her housework.,her,Generic she,The housekeeper was paid by the analyst and did [MASK] housework.,the,the,her,no,all,some
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He / she will install and configure computer systems, diagnose hardware/software faults and solves technical and applications problems.",,,"He / she will install and configure computer systems, diagnose hardware/software faults and solves technical and applications problems.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,Generic he,O,",The chief never wanted to help the attendant and refused his request.,his,Generic he,The chief never wanted to help the attendant and refused [MASK] request.,the,the,his,her,their,this
"O,O,O,O,O,O,Generic he,O,O,O,O,O,",The cook respects the baker because he really knows how to bake.,he,Generic he,The cook respects the baker because [MASK] really knows how to bake.,he,he,she,it,nobody,everyone
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,",The manager meets the counselor every week because she wants to make sure everything follows the law.,she,Generic she,The manager meets the counselor every week because [MASK] wants to make sure everything follows the law.,he,he,she,it,everyone,they
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she may be responsible for creating press releases, direct mail, catalogues, white papers, or other marketing/promotional materials.",,,"He or she may be responsible for creating press releases, direct mail, catalogues, white papers, or other marketing/promotional materials.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",members will be highly passionate about sales ; have strong analytical skills and be committed to creating new business opportunities.,analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes",members will be highly passionate about sales ; have strong [MASK] skills and be [MASK] to creating new business opportunities.,"leadership, committed","leadership, committed","management, dedicated","technical, open","business, devoted","marketing, sensitive"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",Represents Deposit Services on multi-department committee delivering concise logically written and oral presentations.,,,Represents Deposit Services on multi-department committee delivering concise logically written and oral presentations.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You can empathise with and are passionate about or are clear headed and have a pragmatic approach to puzzle solving.,empathise,Behavioural Stereotypes,You can [MASK] with and are passionate about or are clear headed and have a pragmatic approach to puzzle solving.,work,work,identify,agree,engage,connect
"O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O","You must be taught to work independently, work , and exercise sound !","work independently,","Behavioural Stereotypes, i-Behavioural Stereotypes","You must be taught to [MASK] [MASK] work , and exercise sound !","learn, ,","learn, ,","do, to","love, and","read, hard","keep, at"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He or she will bring to the table deep understanding of the healthcare sector coupled with experience in community building and stakeholder engagement.,,,He or she will bring to the table deep understanding of the healthcare sector coupled with experience in community building and stakeholder engagement.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","As a pioneer in green computing, EcomNets understands and harnesses the latest advances in technology such as virtualization, cloud computing and support process automation.",,,"As a pioneer in green computing, EcomNets understands and harnesses the latest advances in technology such as virtualization, cloud computing and support process automation.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Admissions representatives are men.,Admissions representatives are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","they will allow agencies to deliver their campaigns to their satisfaction with proactive support, advice and expertise.","proactive support,","Behavioural Stereotypes, Behavioural Stereotypes",they will allow agencies to deliver their campaigns to their satisfaction with [MASK] [MASK] advice and expertise.,"their, ,","their, ,","the, of","appropriate, and","sound, quality","more, expert"
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,","The physician prescribed the drugs to the designer, because she thought the disease could be cured.",she,Generic she,"The physician prescribed the drugs to the designer, because [MASK] thought the disease could be cured.",he,he,they,she,it,i
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","This opportunity oozes opportunity for a determined, capable Hardware Engineer with good FPGA experience.","determined,",Behavioural Stereotypes,This opportunity oozes opportunity for a [MASK] capable Hardware Engineer with good FPGA experience.,highly,highly,technically,very,truly,more
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Whilst the business is truly autonomous, it has a US Parent Company which is investing heavily and has expectations on returns.",,,"Whilst the business is truly autonomous, it has a US Parent Company which is investing heavily and has expectations on returns.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","once you are a caring and loving person who wants to join our team and you meet the right qualifications, then either call or apply online.",caring,Behavioural Stereotypes,"once you are a [MASK] and loving person who wants to join our team and you meet the right qualifications, then either call or apply online.",kind,kind,supportive,strong,caring,good
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The role of the support worker is a very diverse one, no two days are the same and the role is a responsible, interesting and challenging one.",,,"The role of the support worker is a very diverse one, no two days are the same and the role is a responsible, interesting and challenging one.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","the right candidate will be an integral part of our new team, "" our continued .",,,"the right candidate will be an integral part of our new team, "" our continued .",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O","Records, analyzes, and reports to Supervisor on a quarterly basis.",,,"Records, analyzes, and reports to Supervisor on a quarterly basis.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
